experimentID;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9;param10;param11;param12;param13;param14;param15;param16;param17;param18;param19;param20;param21;param22;param23;param24;param25;param26;param27;param28;param29
2023-01-13123836-0;1.0873919194302733e-09;6.42097367919901e-09;0.0017434900001262396;3.5516507414171984e-09;3.5736308108891046e-05;-3.2255464961672764e-09;-4.978915906094387;-4.979201634959587;-4.97639880871526;7.722556450304618e-05;7.159113340081795e-08;-2.4341107420595234e-09;-1.5215124643910862e-06;5.723517646343092e-09;-4.406399564622423e-09;-1.7095511532731348e-09;5.4108256645424194e-09;4.1694890453549494e-09;0.0527387125128822;4.1936309713140605e-09;-9.51835078497814e-09;-3.80564577821797e-09;-1.941151211849269e-09;9.0737876433807e-06;-4.924462226392197e-09;-6.72351955128029e-09;-0.03987698799717698;2.264051491580556e-06;-0.04027294274835802;6.890794821360583e-09
2023-01-13123836-1;2.4782693269454024e-09;-3.956293683020579e-08;-4.173204432652153e-09;-5.418578438940608e-09;4.112612503421137e-08;-8.42964450484007e-09;-3.219237755880648e-09;-3.299744656259112e-09;4.9237535096450194e-08;1.8983443610661956e-09;-0.0001977853645831586;-3.4937121161179325e-09;-1.5255989191959283e-09;7.059995260473594e-09;5.12;2.637335088026003e-09;-1.1158934656729168e-09;-1.886400007119027e-09;2.0442977928504916e-09;-0.00015037663912813152;4.795695500068417e-11;-3.6037091728418245e-09;-4.4476147613039094e-09;-7.931639569653515e-10;5.945990319333614e-09;-9.536887453974652e-08;-5.205742600656418e-09;-4.465542016020399e-09;-1.2632501884237842e-09;-5.12
2023-01-13125710-0;-1.7468120160716928e-09;-4.026601105690894e-09;-1.2162902523110481e-09;-3.2826062951724347e-09;-8.492984451140101e-09;2.44474983491347e-09;5.694628169749874e-09;-1.3300790760892125e-09;-3.1813601742089944e-09;4.05505442461553e-09;-4.64247773656778e-09;5.697690360587927e-09;-4.981140334206264e-09;-4.280911061224205e-09;4.471418823306517e-09;-6.6350154091346195e-09;6.804860810518133e-09;-4.0430431127839216e-09;-5.2811172828053474e-09;-3.204019239923354e-09;-5.42575914842075e-09;-7.465177167323477e-09;-7.0328398491860214e-09;7.80945139002783e-09;-1.9105846734225708e-09;1.4514931537402263e-09;7.461960364823256e-09;9.845411253313344e-09;-9.558044923149858e-09;1.1593856010530127e-08
2023-01-13125710-1;-7.2537907855308015e-09;-4.88631848867205e-09;4.414209309713942e-09;6.185419524268139e-09;4.9512595104562395e-09;-6.535235585321641e-09;7.731684027181987e-10;5.721019751643544e-09;6.0766866293061536e-09;-5.8512287884406116e-09;-3.0191431229867335e-09;-1.010041043847928e-09;6.405326131748876e-09;1.4595915769216113e-09;-1.5654905228928226e-09;-5.720231117826272e-09;7.1925253000965745e-09;-4.688989993365591e-09;-4.0240724546783095e-09;7.11500595518794e-09;2.1264531919857788e-09;1.4009978892660823e-09;5.988348569621718e-09;6.237599380581155e-09;-9.726578609636528e-10;-8.428315139498308e-10;-3.340517229080059e-10;-3.47562536136293e-09;5.181511520845065e-09;-9.49714045974271e-09
