experimentID;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9;param10;param11;param12;param13;param14;param15;param16;param17;param18;param19;param20;param21;param22;param23;param24;param25;param26;param27;param28;param29
2023-01-13191000-1;-2.322228234695929e-09;1.95930901659435e-09;4.1653330530062265e-09;-6.28959792539448e-09;0.9949586415730063;-3.753120279269676e-09;-3.1858124712883336e-09;-0.994958640389447;-4.945466365993469e-09;-3.2218173871649204e-09;0.9949586449496707;1.524645720734733e-09;1.9658299378423434e-09;-0.9949586356770751;-7.134900157080548e-09;7.0777047381505045e-09;-0.9949586288981676;-1.7081750699087202e-09;-1.9899122351254788;1.8189810375468449e-09;-3.802223469378699e-09;-9.307411687162002e-09;-0.994958631818547;0.9949586346079726;-0.9949586306095913;0.9949586305154399;0.9949586363630178;-0.9949586443260295;-0.9949586333130239;-6.933211652539146e-09
2023-01-14101249-0;-7.105026727625366e-10;1.8803355759290727e-09;1.0246467671554781e-09;-0.9949586369383236;0.9949586284173865;-8.455877521367447e-10;1.9899122338694322;1.9899122358243817;-0.9949586451238319;6.296595526578715e-09;2.19841588207148e-09;3.345285434763365e-09;-0.9949586324109607;-0.994958628326289;-0.9949586400029744;1.0208824898698117e-09;6.514551511881385e-09;-7.975532965535473e-09;-0.9949586429412529;-2.6216047451026863e-09;2.1519106706665795e-09;-0.9949586358142214;1.4259667052297861e-09;0.9949586350518128;4.560308050674208e-09;3.539507239364994e-09;-0.9949586355613179;0.9949586414751717;0.9949586418261481;-2.0115709869512207e-09
2023-01-14101249-1;0.9949586384005314;0.9949586351900681;1.2075640431097372e-09;4.28227826400241e-10;1.3879111478844556e-09;-0.9949586384675658;4.232954201104595e-09;4.3333607550550825e-09;5.763503825947465e-10;7.650035567988618e-10;0.9949586368738732;5.572753793032715e-09;-0.9949586427293422;-2.0601091752006887e-10;2.325652365273389e-09;6.0668673032826254e-09;1.956291034809947e-09;0.9949586395159846;1.1454649348523371e-09;1.353215170146136e-09;5.4530174942675745e-09;-6.078097772383664e-09;-3.7548856265830275e-09;4.631928140312335e-09;-9.999148012403896e-10;1.2792216548753024e-09;-0.9949586376330378;-0.9949586362223802;-8.694209197103628e-10;0.9949586401922035
2023-01-14101340-0;9.217013515511193e-09;3.1907592296848317e-09;4.722404258533577e-09;3.952453777593265e-09;-4.7030236332088e-10;6.521094628538938e-09;3.379307870591336e-09;-0.9949586418518855;0.9949586400860514;-4.252647764265916e-09;-4.415846821778776e-09;-1.9485026620593785e-09;-0.9949586356474013;0.9949586382583584;-6.094831191172498e-09;0.9949586337051322;0.9949586409571548;-2.2872482062269757e-09;-6.081044797670902e-09;-4.340005604842554e-09;3.4485352682498967e-09;0.9949586368971717;-0.9949586310741949;-2.383490433135591e-09;0.9949586423649235;2.680826856303468e-09;-0.994958637752869;6.462212852662952e-09;-1.0368597009306218e-08;-6.199745587834485e-09
2023-01-14101340-1;1.2988213649466756e-09;1.7787619020704739e-10;-4.979128976351797e-09;2.602179432834223e-09;0.9949586400388747;0.9949586322961551;6.217801497426516e-09;1.9899122291081865;0.9949586335565241;-1.357820567014546e-09;0.9949586434906896;5.3994273155983895e-09;1.595143607364599e-09;0.9949586345920575;0.9949586382041198;6.406922664464575e-09;-0.9949586326022533;0.9949586432269589;6.545218096129938e-09;-0.9949586305588863;-6.063926490421621e-09;0.9949586412543182;1.2660743245332183e-09;-2.6086584650659938e-09;1.6570334333538346e-09;4.5733518079788836e-09;-0.9949586312242255;5.279418317465653e-09;4.4916299411313335e-09;-5.378862833800777e-09
2023-01-14102137-0;-100.0;-19.0873677409719;-30.755367094713975;-73.26074436303836;-52.37892389597278;83.48420663627277;0.026790068975770964;-6.463148743319962;-84.01765085189233;95.95433007320267;33.95335153231025;44.35589863136272;-46.572126129111346;9.353089314011442;-12.70672169560369;-22.425162545715466;-85.80825805118921;11.302774629963409;-72.10102458669705;76.02528848468538;-73.50710383613176;-34.38471753469766;-55.042891726676444;60.13021472564475;-47.885503438441916;-36.04695243296112;-4.133555893332556;6.8973451938807955;-60.40856424775245;8.335057543326059
2023-01-14102137-1;-19.71175301724227;65.28765833784107;-95.91352496643368;86.97751904951602;65.45589753281035;49.637579938924745;-71.99110500094186;18.227930163580112;57.644640073649896;30.42557970345979;15.90233965210588;97.86616910546095;-21.914946628791782;-21.533769708365043;38.926201168994936;-30.13612638871102;41.30962034959964;42.15029995722716;22.925070305250884;72.23215150507579;55.25196269797482;-2.2527356094577584;89.11798104524243;15.966488412157645;-70.37339602222441;41.896394695569654;-59.439855624718405;35.948063740831316;-76.0564628348352;-8.009165735030209
2023-01-14102244-0;-1.9946153719821967e-33;1.5975161512590676e-34;1.0084842895937542e-33;-2.9049878825285904e-33;0.0002209255993156289;-1.1036136812706045e-33;-2.3288413663299584e-34;3.703764148592052e-34;2.471309802558673e-35;1.4415424730067137e-33;1.5677909382580612e-33;-1.0146803475230148e-33;-1.2877750714814091e-34;-1.118209720766593e-33;-3.712141082832885e-33;-6.433222044891676e-34;4.763707099528369e-33;-1.19443578508219e-33;-3.600848473821146e-34;-2.885711595118748e-34;7.913098130328281e-34;3.3316770479808976e-33;2.8216574665349145e-33;7.085892048709845e-34;-3.9404157762213705e-34;9.497944143439682e-34;-1.5934798372791857e-34;5.473633367427404e-34;-1.2742486591855772e-33;5.908055768424916e-33
2023-01-14102244-1;-6.921706572959838e-34;8.849242616403765e-35;-0.000962711047906741;-3.103663343018619e-33;2.0093370921555854e-33;-9.886092837019878e-34;-8.277821408317271e-34;-8.463826623943154e-34;-4.012527473720086e-34;7.188133173176509e-36;-3.2424936818309235e-34;1.1049695618923308e-34;3.7449913100108937e-35;8.365337048737278e-34;7.297855543826921e-33;4.278511762858389e-33;-0.0009627110426775997;1.910144240808261e-33;1.2747369965578036e-33;-8.190829047908714e-35;1.6454328154202194e-33;-6.19485255532302e-35;-1.1982265525484527e-34;-5.619370110025495e-34;3.610062190904078e-33;8.648265912656204e-34;1.1758388040498124e-33;-1.0888873170583658e-34;-1.2569749541500735e-33;-1.062847009563942e-33
2023-01-14122209-0;6.2800452768011175;-7.766098852085115e-09;-1.785237823690967e-08;5.22563946330213e-09;2.0878981524779268e-08;9.165747041600742e-09;8.615643475240024e-09;-2.384198754156024e-08;1.994614466560266e-09;-8.685542767456669e-09;2.6178815516844658e-08;-7.479426697994761e-09;-2.68237481332872e-09;-6.037651548191508e-09;-4.045560051050678e-08;-7.712989140295304e-09;3.4800999635206914e-09;2.1542341027611972e-08;-2.489203750633329e-08;1.5373189002938955e-08;2.7178175608536226e-09;-5.419330967059794e-09;-1.9987389175406475e-08;5.352578636542131e-10;1.7040014476929577e-08;1.6904638135087523e-08;2.9502858811005874e-08;-5.5485320836759245e-08;-1.1113423581857131e-08;3.702163083434513e-08
